"Date","dateRep","day","month","year","cases","deaths","countriesAndTerritories","countriesCode"
"2020-06-17","17/06/2020","17","6","2020","41","4","Japan","JP"
"2020-06-18","18/06/2020","18","6","2020","40","4","Japan","JP"
"2020-06-19","19/06/2020","19","6","2020","72","0","Japan","JP"
"2020-06-20","20/06/2020","20","6","2020","59","17","Japan","JP"
"2020-06-21","21/06/2020","21","6","2020","0","0","Japan","JP"
"2020-06-22","22/06/2020","22","6","2020","117","1","Japan","JP"
"2020-06-23","23/06/2020","23","6","2020","52","2","Japan","JP"
"2020-06-24","24/06/2020","24","6","2020","59","8","Japan","JP"
"2020-06-25","25/06/2020","25","6","2020","83","5","Japan","JP"
"2020-06-26","26/06/2020","26","6","2020","87","1","Japan","JP"
"2020-06-27","27/06/2020","27","6","2020","100","2","Japan","JP"
"2020-06-28","28/06/2020","28","6","2020","93","0","Japan","JP"
"2020-06-29","29/06/2020","29","6","2020","86","1","Japan","JP"
"2020-06-30","30/06/2020","30","6","2020","117","0","Japan","JP"
"2020-07-01","1/7/2020","1","7","2020","130","2","Japan","JP"
"2020-07-02","2/7/2020","2","7","2020","151","1","Japan","JP"
"2020-07-03","3/7/2020","3","7","2020","194","1","Japan","JP"
"2020-07-04","4/7/2020","4","7","2020","214","1","Japan","JP"
"2020-07-05","5/7/2020","5","7","2020","240","0","Japan","JP"
"2020-07-06","6/7/2020","6","7","2020","253","0","Japan","JP"
"2020-07-07","7/7/2020","7","7","2020","206","1","Japan","JP"
"2020-07-08","8/7/2020","8","7","2020","193","2","Japan","JP"
"2020-07-09","9/7/2020","9","7","2020","197","1","Japan","JP"
"2020-07-10","10/7/2020","10","7","2020","348","1","Japan","JP"
"2020-07-11","11/7/2020","11","7","2020","410","0","Japan","JP"
"2020-07-12","12/7/2020","12","7","2020","373","0","Japan","JP"
"2020-07-13","13/07/2020","13","7","2020","366","0","Japan","JP"
"2020-07-14","14/07/2020","14","7","2020","352","0","Japan","JP"
"2020-07-15","15/07/2020","15","7","2020","288","2","Japan","JP"
"2020-07-16","16/07/2020","16","7","2020","382","1","Japan","JP"
"2020-07-17","17/07/2020","17","7","2020","583","0","Japan","JP"
"2020-07-18","18/07/2020","18","7","2020","659","0","Japan","JP"
"2020-07-19","19/07/2020","19","7","2020","510","0","Japan","JP"
"2020-07-20","20/07/2020","20","7","2020","454","0","Japan","JP"
"2020-07-21","21/07/2020","21","7","2020","640","3","Japan","JP"
"2020-07-22","22/07/2020","22","7","2020","567","1","Japan","JP"
"2020-07-23","23/07/2020","23","7","2020","726","1","Japan","JP"
"2020-07-24","24/07/2020","24","7","2020","927","2","Japan","JP"
"2020-07-25","25/07/2020","25","7","2020","830","1","Japan","JP"
"2020-07-26","26/07/2020","26","7","2020","596","3","Japan","JP"
"2020-07-27","27/07/2020","27","7","2020","607","0","Japan","JP"
"2020-07-28","28/07/2020","28","7","2020","0","0","Japan","JP"
"2020-07-29","29/07/2020","29","7","2020","1344","4","Japan","JP"
"2020-07-30","30/07/2020","30","7","2020","1126","3","Japan","JP"
"2020-07-31","31/07/2020","31","7","2020","1315","2","Japan","JP"
"2020-08-01","1/8/2020","1","8","2020","598","1","Japan","JP"
"2020-08-02","2/8/2020","2","8","2020","1709","4","Japan","JP"
"2020-08-03","3/8/2020","3","8","2020","1991","1","Japan","JP"
"2020-08-04","4/8/2020","4","8","2020","1786","5","Japan","JP"
"2020-08-05","5/8/2020","5","8","2020","1271","6","Japan","JP"
"2020-08-06","6/8/2020","6","8","2020","1134","4","Japan","JP"
"2020-08-07","7/8/2020","7","8","2020","1552","7","Japan","JP"
"2020-08-08","8/8/2020","8","8","2020","1624","6","Japan","JP"
"2020-08-09","9/8/2020","9","8","2020","1344","1","Japan","JP"
